Place,Population,Per Capita Income,Poverty Count,Poverty Rate
"Las Piedras Municipio, Puerto Rico",37499,11475,10708,40%
"Loíza Municipio, Puerto Rico",25778,9335,7764,40.2%
"Luquillo Municipio, Puerto Rico",18224,11123,5522,41.9%
"Manatí Municipio, Puerto Rico",38836,11084,10623,42.1%
"Maricao Municipio, Puerto Rico",6075,6118,1200,44%
"Maunabo Municipio, Puerto Rico",10776,9319,2095,44.4%
"Mayagüez Municipio, Puerto Rico",75232,10994,18307,41.4%
"Moca Municipio, Puerto Rico",36161,10342,9584,40%
"Morovis Municipio, Puerto Rico",30962,9728,8757,38.7%
"Naguabo Municipio, Puerto Rico",26075,9283,7124,38.4%
"Naranjito Municipio, Puerto Rico",28112,9120,7216,41.1%
"Orocovis Municipio, Puerto Rico",20982,8299,4737,40.1%
"Patillas Municipio, Puerto Rico",16929,9636,4093,44.9%
"Peñuelas Municipio, Puerto Rico",20383,9480,5133,38.8%
"Ponce Municipio, Puerto Rico",139671,11393,37760,41%
"Quebradillas Municipio, Puerto Rico",23629,10451,6969,41.2%
"Rincón Municipio, Puerto Rico",14056,12507,4654,46%
"Río Grande Municipio, Puerto Rico",49613,11341,16901,41.2%
"Sabana Grande Municipio, Puerto Rico",22560,9810,6407,42.3%
"Salinas Municipio, Puerto Rico",28109,9557,7928,40.9%
"San Germán Municipio, Puerto Rico",31442,10535,7749,44%
"San Juan Municipio, Puerto Rico",335468,19361,123077,43.2%
"San Lorenzo Municipio, Puerto Rico",37209,11307,11034,42.4%
"San Sebastián Municipio, Puerto Rico",37120,9498,9087,44.1%
"Santa Isabel Municipio, Puerto Rico",21757,11596,7994,38.8%
"Toa Alta Municipio, Puerto Rico",72864,14661,27537,38.4%
"Toa Baja Municipio, Puerto Rico",77810,13106,27634,40.7%
"Trujillo Alto Municipio, Puerto Rico",66338,16482,27259,40.5%
"Utuado Municipio, Puerto Rico",28676,8683,6220,43.5%
"Vega Alta Municipio, Puerto Rico",37106,11735,10207,39.6%
"Vega Baja Municipio, Puerto Rico",52192,11116,14915,41.5%
"Vieques Municipio, Puerto Rico",8642,10426,2467,47%
"Villalba Municipio, Puerto Rico",22403,10894,6579,40.1%
"Yabucoa Municipio, Puerto Rico",33499,9929,8611,42.9%
"Yauco Municipio, Puerto Rico",35428,8404,8532,43.9%
